name,type,value,date
全国,,5.674911161,1987
北京,,7.837448,1987
天津,,6.859316,1987
河北,,5.845692,1987
山西,,6.237254,1987
内蒙古,,5.988913,1987
辽宁,,6.515366,1987
吉林,,6.479126,1987
黑龙江,,6.345679,1987
上海,,7.303205,1987
江苏,,5.713727,1987
浙江,,5.605217,1987
安徽,,5.186797,1987
福建,,5.415443,1987
江西,,5.609495,1987
山东,,5.51843,1987
河南,,5.764677,1987
湖北,,5.838806,1987
湖南,,5.880888,1987
广东,,6.007578,1987
广西,,5.590248,1987
海南,,5.827081,1987
重庆,,5.387892,1987
四川,,5.387892,1987
贵州,,4.625098,1987
云南,,4.591081,1987
西藏,,2.420684,1987
陕西,,5.765144,1987
甘肃,,4.836683,1987
青海,,4.339384,1987
宁夏,,5.310801,1987
新疆,,5.887201,1987
全国,,5.792495065,1988
北京,,7.99984,1988
天津,,7.001441,1988
河北,,5.966814,1988
山西,,6.366489,1988
内蒙古,,6.113004,1988
辽宁,,6.650364,1988
吉林,,6.613373,1988
黑龙江,,6.477161,1988
上海,,7.454527,1988
江苏,,5.832115,1988
浙江,,5.721357,1988
安徽,,5.294268,1988
福建,,5.527651,1988
江西,,5.725723,1988
山东,,5.632771,1988
河南,,5.884121,1988
湖北,,5.959786,1988
湖南,,6.002739,1988
广东,,6.132055,1988
广西,,5.706078,1988
海南,,5.947817,1988
重庆,,5.499529,1988
四川,,5.499529,1988
贵州,,4.720929,1988
云南,,4.686208,1988
西藏,,2.470841,1988
陕西,,5.884598,1988
甘肃,,4.9369,1988
青海,,4.429295,1988
宁夏,,5.42084,1988
新疆,,6.009184,1988
全国,,6.261,1989
北京,,8.165597,1989
天津,,7.14651,1989
河北,,6.090447,1989
山西,,6.498403,1989
内蒙古,,6.239665,1989
辽宁,,6.788159,1989
吉林,,6.750401,1989
黑龙江,,6.611368,1989
上海,,7.608985,1989
江苏,,5.952957,1989
浙江,,5.839903,1989
安徽,,5.403965,1989
福建,,5.642183,1989
江西,,5.84436,1989
山东,,5.749483,1989
河南,,6.00604,1989
湖北,,6.083273,1989
湖南,,6.127116,1989
广东,,6.259111,1989
广西,,5.824307,1989
海南,,6.071056,1989
重庆,,5.613479,1989
四川,,5.613479,1989
贵州,,4.818747,1989
云南,,4.783306,1989
西藏,,2.522036,1989
陕西,,6.006526,1989
甘肃,,5.039192,1989
青海,,4.52107,1989
宁夏,,5.53316,1989
新疆,,6.133694,1989
全国,,7.87,1990
北京,,8.628974,1990
天津,,7.849422,1990
河北,,6.321472,1990
山西,,6.92473,1990
内蒙古,,6.4882,1990
辽宁,,7.391501,1990
吉林,,7.144688,1990
黑龙江,,7.107849,1990
上海,,8.212311,1990
江苏,,6.415581,1990
浙江,,6.100232,1990
安徽,,5.270393,1990
福建,,5.953485,1990
江西,,5.930095,1990
山东,,6.202063,1990
河南,,6.288128,1990
湖北,,6.404285,1990
湖南,,6.525232,1990
广东,,6.643791,1990
广西,,6.23634,1990
海南,,6.399110201,1990
重庆,,6.002688,1990
四川,,6.002688,1990
贵州,,4.799315,1990
云南,,4.749223,1990
西藏,,2.124428829,1990
陕西,,6.321856,1990
甘肃,,5.046579,1990
青海,,5.026475,1990
宁夏,,5.564184,1990
新疆,,5.60875,1990
全国,,6.25,1991
北京,,7.696985,1991
天津,,7.179001,1991
河北,,6.482409,1991
山西,,6.826241,1991
内蒙古,,6.506059,1991
辽宁,,6.985039,1991
吉林,,7.039841,1991
黑龙江,,6.898708,1991
上海,,7.444975,1991
江苏,,6.262765,1991
浙江,,6.229893,1991
安徽,,5.832384,1991
福建,,6.062813,1991
江西,,6.324255,1991
山东,,6.100396,1991
河南,,6.396432,1991
湖北,,6.448215,1991
湖南,,6.586893,1991
广东,,6.601955,1991
广西,,6.348159,1991
海南,,6.325247,1991
重庆,,6.097435,1991
四川,,6.097435,1991
贵州,,5.274827,1991
云南,,5.285844,1991
西藏,,2.627632,1991
陕西,,6.359608,1991
甘肃,,5.426,1991
青海,,4.793497,1991
宁夏,,5.824747,1991
新疆,,6.377751,1991
全国,,6.259,1992
北京,,7.951955,1992
天津,,7.336119,1992
河北,,6.567459,1992
山西,,6.934196,1992
内蒙古,,6.6071,1992
辽宁,,7.116298,1992
吉林,,7.159059,1992
黑龙江,,7.015479,1992
上海,,7.648496,1992
江苏,,6.356174,1992
浙江,,6.306327,1992
安徽,,5.896278,1992
福建,,6.123263,1992
江西,,6.387741,1992
山东,,6.179784,1992
河南,,6.483409,1992
湖北,,6.534823,1992
湖南,,6.661731,1992
广东,,6.686577,1992
广西,,6.402447,1992
海南,,6.456306,1992
重庆,,6.157393,1992
四川,,6.157393,1992
贵州,,5.312613,1992
云南,,5.317621,1992
西藏,,2.682077,1992
陕西,,6.450449,1992
甘肃,,5.487916,1992
青海,,4.856895,1992
宁夏,,5.912676,1992
新疆,,6.473233,1992
全国,,6.470379443,1993
北京,,9.017497,1993
天津,,7.66917,1993
河北,,6.489296,1993
山西,,7.060316,1993
内蒙古,,6.488862,1993
辽宁,,7.266447,1993
吉林,,7.430026,1993
黑龙江,,7.052938,1993
上海,,8.236221,1993
江苏,,6.389486,1993
浙江,,6.219156,1993
安徽,,5.528402,1993
福建,,5.747695,1993
江西,,6.140567,1993
山东,,6.017366,1993
河南,,6.379116,1993
湖北,,6.489929,1993
湖南,,6.591538,1993
广东,,6.464415,1993
广西,,6.276123,1993
海南,,6.670518469,1993
重庆,,5.965446,1993
四川,,5.965446,1993
贵州,,4.678313,1993
云南,,4.607812,1993
西藏,,2.433892755,1993
陕西,,6.447257,1993
甘肃,,5.135205,1993
青海,,4.657139,1993
宁夏,,6.086657,1993
新疆,,6.360823,1993
全国,,6.744497911,1994
北京,,8.532201,1994
天津,,7.687454,1994
河北,,6.753599,1994
山西,,7.171884,1994
内蒙古,,6.830338,1994
辽宁,,7.407189,1994
吉林,,7.423475,1994
黑龙江,,7.273059,1994
上海,,8.104999,1994
江苏,,6.562272,1994
浙江,,6.474747,1994
安徽,,6.037614,1994
福建,,6.259035,1994
江西,,6.528929,1994
山东,,6.35332,1994
河南,,6.672873,1994
湖北,,6.72671,1994
湖南,,6.827236,1994
广东,,6.874021,1994
广西,,6.522992,1994
海南,,6.726626,1994
重庆,,6.291805,1994
四川,,6.291805,1994
贵州,,5.399817,1994
云南,,5.391452,1994
西藏,,2.794373,1994
