name,type,value,date
全国,,0.0162,1989
北京,,0.102,1989
天津,,0.0517,1989
河北,,0.011,1989
山西,,0.0158,1989
内蒙古,,0.0167,1989
辽宁,,0.0287,1989
吉林,,0.0242,1989
黑龙江,,0.0239,1989
上海,,0.0706,1989
江苏,,0.0165,1989
浙江,,0.0129,1989
安徽,,0.0101,1989
福建,,0.0142,1989
江西,,0.0114,1989
山东,,0.0111,1989
河南,,0.0098,1989
湖北,,0.0181,1989
湖南,,0.013,1989
广东,,0.0139,1989
广西,,0.0092,1989
海南,,0.0144,1989
重庆,,0.0107,1989
四川,,0.0107,1989
贵州,,0.009,1989
云南,,0.0093,1989
西藏,,0.0068,1989
陕西,,0.0194,1989
甘肃,,0.0127,1989
青海,,0.0169,1989
宁夏,,0.0186,1989
新疆,,0.0216,1989
全国,,0.0201,1990
北京,,0.1085,1990
天津,,0.0633,1990
河北,,0.0122,1990
山西,,0.0173,1990
内蒙古,,0.021,1990
辽宁,,0.0323,1990
吉林,,0.0299,1990
黑龙江,,0.027,1990
上海,,0.0771,1990
江苏,,0.0239,1990
浙江,,0.0167,1990
安徽,,0.0164,1990
福建,,0.0197,1990
江西,,0.0144,1990
山东,,0.0133,1990
河南,,0.0116,1990
湖北,,0.0225,1990
湖南,,0.0154,1990
广东,,0.0202,1990
广西,,0.0133,1990
海南,,0.017,1990
重庆,,0.0131,1990
四川,,0.0131,1990
贵州,,0.0148,1990
云南,,0.0157,1990
西藏,,0.0158,1990
陕西,,0.0237,1990
甘肃,,0.0166,1990
青海,,0.0235,1990
宁夏,,0.0245,1990
新疆,,0.024,1990
全国,,0.0159,1991
北京,,0.102,1991
天津,,0.0518,1991
河北,,0.011,1991
山西,,0.0158,1991
内蒙古,,0.0167,1991
辽宁,,0.0286,1991
吉林,,0.0242,1991
黑龙江,,0.0239,1991
上海,,0.0707,1991
江苏,,0.0165,1991
浙江,,0.0129,1991
安徽,,0.0101,1991
福建,,0.0142,1991
江西,,0.0114,1991
山东,,0.0111,1991
河南,,0.0098,1991
湖北,,0.018,1991
湖南,,0.013,1991
广东,,0.0154,1991
广西,,0.0092,1991
海南,,0.0144,1991
重庆,,0.0107,1991
四川,,0.0107,1991
贵州,,0.0089,1991
云南,,0.0093,1991
西藏,,0.0067,1991
陕西,,0.0194,1991
甘肃,,0.0127,1991
青海,,0.0169,1991
宁夏,,0.0186,1991
新疆,,0.0216,1991
全国,,0.0159,1992
北京,,0.102,1992
天津,,0.0517,1992
河北,,0.011,1992
山西,,0.0158,1992
内蒙古,,0.0167,1992
辽宁,,0.0287,1992
吉林,,0.0242,1992
黑龙江,,0.0239,1992
上海,,0.0706,1992
江苏,,0.0164,1992
浙江,,0.0128,1992
安徽,,0.0101,1992
福建,,0.0142,1992
江西,,0.0114,1992
山东,,0.0111,1992
河南,,0.0097,1992
湖北,,0.0181,1992
湖南,,0.013,1992
广东,,0.0154,1992
广西,,0.0092,1992
海南,,0.0144,1992
重庆,,0.0107,1992
四川,,0.0107,1992
贵州,,0.0089,1992
云南,,0.0092,1992
西藏,,0.0066,1992
陕西,,0.0194,1992
甘肃,,0.0127,1992
青海,,0.0169,1992
宁夏,,0.0186,1992
新疆,,0.0216,1992
全国,,0.023,1993
北京,,0.12,1993
天津,,0.0472,1993
河北,,0.0102,1993
山西,,0.0255,1993
内蒙古,,0.0142,1993
辽宁,,0.0246,1993
吉林,,0.0302,1993
黑龙江,,0.0199,1993
上海,,0.0735,1993
江苏,,0.0152,1993
浙江,,0.0062,1993
安徽,,0.0073,1993
福建,,0.0087,1993
江西,,0.0131,1993
山东,,0.0061,1993
河南,,0.0087,1993
湖北,,0.0099,1993
湖南,,0.0131,1993
广东,,0.0043,1993
广西,,0.0221,1993
海南,,0,1993
重庆,,0.0107,1993
四川,,0.0107,1993
贵州,,0.0033,1993
云南,,0.0026,1993
西藏,,0.0025,1993
陕西,,0.015,1993
甘肃,,0.0097,1993
青海,,0.0151,1993
宁夏,,0.0216,1993
新疆,,0.0237,1993
全国,,0.0305,1994
北京,,0.139,1994
天津,,0.0683,1994
河北,,0.0159,1994
山西,,0.0223,1994
内蒙古,,0.0202,1994
辽宁,,0.0336,1994
吉林,,0.0325,1994
黑龙江,,0.0253,1994
上海,,0.0906,1994
江苏,,0.0156,1994
浙江,,0.0143,1994
安徽,,0.0141,1994
福建,,0.0115,1994
江西,,0.0109,1994
山东,,0.0164,1994
河南,,0.0115,1994
湖北,,0.0139,1994
湖南,,0.0117,1994
广东,,0.0109,1994
广西,,0.0047,1994
海南,,0.0188,1994
重庆,,0.0108,1994
四川,,0.0108,1994
贵州,,0.0045,1994
云南,,0.006,1994
西藏,,0.0064,1994
陕西,,0.0349,1994
甘肃,,0.0168,1994
青海,,0.0136,1994
宁夏,,0.0413,1994
新疆,,0.0331,1994
全国,,0.0224,1995
北京,,0.1416,1995
天津,,0.0668,1995
河北,,0.0121,1995
山西,,0.0344,1995
内蒙古,,0.0231,1995
辽宁,,0.0442,1995
吉林,,0.0043,1995
黑龙江,,0.0342,1995
上海,,0.0949,1995
江苏,,0.0287,1995
浙江,,0.0128,1995
安徽,,0.0147,1995
福建,,0.0156,1995
江西,,0.0108,1995
山东,,0.0192,1995
河南,,0.0133,1995
湖北,,0.0196,1995
湖南,,0.0128,1995
广东,,0.023,1995
广西,,0.0114,1995
海南,,0.0217,1995
重庆,,0.0153,1995
四川,,0.0153,1995
贵州,,0.0133,1995
云南,,0.0117,1995
西藏,,0.0091,1995
陕西,,0.0248,1995
甘肃,,0.0175,1995
青海,,0.0197,1995
宁夏,,0.0282,1995
新疆,,0.0425,1995
全国,,0.0223,1996
北京,,0.1439,1996
天津,,0.0491,1996
河北,,0.0128,1996
山西,,0.0313,1996
内蒙古,,0.0301,1996
辽宁,,0.0383,1996
吉林,,0.032,1996
黑龙江,,0.0366,1996
上海,,0.103,1996
江苏,,0.0281,1996
浙江,,0.0151,1996
安徽,,0.0124,1996
福建,,0.0145,1996
江西,,0.0097,1996
山东,,0.013,1996
河南,,0.0164,1996
湖北,,0.023,1996
湖南,,0.0181,1996
广东,,0.0125,1996
广西,,0.0074,1996
海南,,0.0179,1996
重庆,,0.0167,1996
四川,,0.0167,1996
贵州,,0.0185,1996
云南,,0.016,1996
西藏,,0.0041,1996
陕西,,0.036,1996
甘肃,,0.0205,1996
青海,,0.022,1996
宁夏,,0.0333,1996
新疆,,0.0477,1996
全国,,0.0274,1997
北京,,0.1344,1997
天津,,0.0727,1997
河北,,0.021,1997
山西,,0.0336,1997
内蒙古,,0.036,1997
辽宁,,0.0602,1997
吉林,,0.0499,1997
黑龙江,,0.0475,1997
