name,Type,value,date
"Fort Myer, Virginia",Wright Flyer III,1,1908
"AtlantiCity, New Jersey",Dirigible,5,1912
"Victoria, British Columbia, Canada",Curtiss seaplane,1,1913
Over the North Sea,Zeppelin L-1 (airship),14,1913
"Near Johannisthal, Germany",Zeppelin L-2 (airship),30,1913
"Tienen, Belgium",Zeppelin L-8 (airship),21,1915
"Off Cuxhaven, Germany",Zeppelin L-10 (airship),19,1915
"Near Jambol, Bulgeria",Schutte-Lanz S-L-10 (airship),20,1916
"Billericay, England",Zeppelin L-32 (airship),22,1916
"Potters Bar, England",Zeppelin L-31 (airship),19,1916
"Mainz, Germany",Super Zeppelin (airship),27,1916
"Off West Hartlepool, England",Zeppelin L-34 (airship),20,1916
"Near Gent, Belgium",Airship,20,1917
Off Northern Germany,Schutte-Lanz S-L-9 (airship),23,1917
"Near Texel Island, North Sea",Zeppelin L-22 (airship),21,1917
"Off Vlieland Island, North Sea",Zeppelin L-43 (airship),24,1917
Off western Denmark,Zeppelin L-23 (airship),18,1917
"Near Luneville, France",Zeppelin L-44 (airship),18,1917
Over the Mediterranean,Zeppelin L-59 (airship),23,1918
"Off Helgoland Island, Germany",Zeppelin L-70 (airship),22,1918
"Ameland Island, North Sea",Zeppelin L-53 (airship),19,1918
"Elizabeth, New Jersey",De Havilland DH-4,1,1918
"Cleveland, Ohio",De Havilland DH-4,1,1919
"Dix Run, Pennsylvania",De Havilland DH-4,1,1919
"Newcastle, England",De Havilland DH-4,1,1919
"Cantonsville, Maryland",Curtiss R-4LM,1,1919
English Channel,De Havilland DH-4,,1919
"Long Valley, New Jersey",De Havilland DH.4,1,1919
"New Paris, Indiana",De Havilland DH-4,1,1920
"Newark, New Jersey",De Havilland DH-4,1,1920
"Newark, New Jersey",Curtiss R-4LM,1,1920
"Heller Field, New Jersey",Curtiss JN-4H,1,1920
"Oskaloosa, Iowa",De Havilland DH-4,1,1920
"Cleveland, Ohio",De Havilland DH-4,1,1920
"Bedford, England",Armstrong-Whitworth F-K-8,1,1920
"College Park, Maryland",De Havilland DH-4,1,1920
"Morristown, New Jersey",Junkers JL-6,2,1920
"Pemberville, Ohio",Junkers F-13,2,1920
"Hillersburg, Pennsylvania",De Havilland DH-4,1,1920
"Off Port Vendres, France",Salmson 2-A-2,2,1920
"Valencia, Spain",Breguet 14,2,1920
"Batavia, Illinois",De Havilland DH-4,1,1920
"Tie Siding, Wyoming",De Havilland DH-4,1,1920
"Cricklewood, England",Handley Page HP-16,4,1920
"Barcelona, Spain",Breguet 14,1,1920
